NUMERO DE ESTUDIANTE;TIPO DE INGRESO;COHORTE;AÑO_INGRESO;TIPO_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO_BACHILLERATO;GENERO;NOMBRE_CARRERA;SITUACION;INDICE ACADEMICO;ULTIMO PERIODO CURSADO
1;Admisión OPSU;14;2015;P;Vargas;16,2439;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;3,8333;Enero-Marzo   2016
2;Equivalencia;14;2016;O;PORTUGUESA;17,64;F;COMERCIO EXTERIOR;SUSPENDIDO;1;Enero-Marzo   2016
3;Admisión Regular;15;2016;P;Distrito Federal;16,7317;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Abril-Julio 2016
4;Admisión Regular;15;2016;S;Distrito Federal;16,3415;M;TECNOLOGÍA MECÁNICA;ACTIVO;3,8246;Enero-Marzo   2018
5;Admisión Regular;15;2016;P;Aragua;16,6098;M;COMERCIO EXTERIOR;SUSPENDIDO;1;Abril-Julio 2016
6;Admisión Regular;15;2016;P;Miranda;14,439;M;TECNOLOGÍA MECÁNICA;RETIRADO;3,9444;Septiembre - Diciembre 2017
7;Admisión Regular;15;2016;P;Miranda;13,2093;M;TECNOLOGÍA ELÉCTRICA;ACTIVO;3,8333;Enero-Marzo   2018
8;Equivalencia;15;2016;P;VARGAS;15,74;F;ADMINISTRACIÓN ADUANERA;ACTIVO;4,25;Septiembre - Diciembre 2017
9;Admisión Regular;05;2005;O;VARGAS;15,78;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6154;Septiembre-Diciembre 2005
10;Admisión Regular;05;2005;O;Vargas;12,83;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;2,931;Abril-Julio 2006
11;Admisión Regular;05;2005;O;MIRANDA;14,03;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,4;Enero-Marzo 2006
12;Admisión Regular;05;2005;P;VARGAS;15,49;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6471;Enero-Marzo 2006
13;Admisión Regular;05;2005;P;Distrito Federal;14,73;M;TECNOLOGÍA ELECTRÓNICA;SUSPENDIDO;1,9231;Septiembre-Diciembre 2005
14;Admisión Regular;05;2005;O;VARGAS;13;M;ADMINISTRACIÓN DEL TRANSPORTE;SUSPENDIDO;1;Septiembre-Diciembre 2005
15;Admisión Regular;05;2005;P;VARGAS;14,76;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6471;Enero-Marzo 2006
16;Admisión Regular;05;2005;S;Distrito Federal;14,53;F;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;1;Septiembre-Diciembre 2005
17;Admisión Regular;05;2005;O;Táchira;17,07;F;COMERCIO EXTERIOR;SUSPENDIDO;2,8966;Septiembre-Diciembre 2008
18;Admisión Regular;05;2005;S;Distrito Federal;15,22;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,7153;Septiembre-Diciembre 2009
19;Admisión Regular;05;2005;O;DISTRITO CAPITAL;15,26;F;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,3043;Enero-Marzo 2006
20;Admisión Regular;05;2005;O;DISTRITO CAPITAL;14,78;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,25;Enero-Marzo 2006
21;Admisión Regular;05;2005;P;VARGAS;17,15;M;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;1;Septiembre-Diciembre 2005
22;Admisión Regular;05;2005;P;VARGAS;15,05;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
23;Admisión Regular;05;2005;O;VARGAS;13,93;F;COMERCIO EXTERIOR;SUSPENDIDO;2,4783;Enero-Marzo 2006
24;Admisión Regular;05;2005;O;VARGAS;12,48;M;COMERCIO EXTERIOR;SUSPENDIDO;2,8667;Enero-Marzo 2008
25;Admisión Regular;05;2005;O;VARGAS;15,54;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,55;Enero-Marzo 2006
26;Admisión Regular;05;2005;O;VARGAS;17,02;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6471;Enero-Marzo 2006
27;Admisión Regular;05;2005;O;VARGAS;16,85;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,7391;Enero-Marzo 2006
28;Admisión Regular;05;2005;P;VARGAS;15,66;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,75;Enero-Marzo 2006
29;Admisión Regular;05;2005;O;Vargas;16,88;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1,6923;Septiembre-Diciembre 2005
30;Admisión Regular;05;2005;S;DISTRITO CAPITAL;11,93;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,8916;Enero-Marzo 2008
31;Admisión Regular;05;2005;P;VARGAS;17,22;F;COMERCIO EXTERIOR;SUSPENDIDO;3,055;Abril - Julio 2008
32;Admisión Regular;05;2005;P;VARGAS;15,74;F;COMERCIO EXTERIOR;SUSPENDIDO;3,625;Abril - Julio 2008
33;Admisión Regular;05;2005;O;VARGAS;15,83;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;1;Septiembre-Diciembre 2005
34;Admisión Regular;05;2005;O;Vargas;16,74;M;COMERCIO EXTERIOR;SUSPENDIDO;2,8696;Enero-Marzo 2006
35;Admisión Regular;15;2016;O;Distrito Federal;13,85;F;COMERCIO EXTERIOR;ACTIVO;3,44;Enero-Marzo   2018
36;Admisión Regular;05;2005;O;VARGAS;14,88;F;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,4783;Enero-Marzo 2006
37;Admisión Regular;05;2005;P;VARGAS;18,68;F;COMERCIO EXTERIOR;SUSPENDIDO;3,2927;Septiembre-Diciembre 2006
38;Admisión Regular;05;2005;S;DISTRITO CAPITAL;13;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,6087;Enero-Marzo 2006
39;Admisión Regular;05;2005;P;DISTRITO CAPITAL;14,22;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,75;Septiembre-Diciembre 2006
40;Admisión Regular;05;2005;S;DISTRITO CAPITAL;16,1;F;ORGANIZACIÓN EMPRESARIAL;SUSPENDIDO;2,913;Enero-Marzo 2006
41;Admisión Regular;05;2005;O;Vargas;13,61;M;COMERCIO EXTERIOR;SUSPENDIDO;3,2105;Abril - Julio 2009
42;Admisión Regular;05;2005;O;VARGAS;17,78;F;ADMINISTRACIÓN DEL TURISMO;SUSPENDIDO;2,6389;Septiembre-Diciembre 2006
43;Admisión Regular;05;2005;P;DISTRITO CAPITAL;13,4;F;COMERCIO EXTERIOR;SUSPENDIDO;3,6207;Abril - Julio 2010
44;Admisión Regular;05;2005;O;MIRANDA;12,12;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;3,8125;Abril-Julio 2007
45;Admisión Regular;05;2005;P;Barinas;12,71;M;TECNOLOGÍA ELÉCTRICA;SUSPENDIDO;3,2542;Enero-Marzo 2008
46;Admisión Regular;05;2005;S;Distrito Federal;14,44;M;MANTENIMIENTO AERONÁUTICO;SUSPENDIDO;2,3846;Septiembre-Diciembre 2005
47;Admisión Regular;05;2005;O;VARGAS;14,38;M;ADMINISTRACIÓN ADUANERA;SUSPENDIDO;2,931;Abril-Julio 2006
