NUMERO DE ESTUDIANTE;TIPO_DE_INGRESO;COHORTE;AÑO_INGRESO;TIPO_DE_LICEO;PROCEDENCIA_DEL_LICEO;PROMEDIO DE BACHILLERATO;GENERO;NOMBRE_CARRERA;DESC_SITUACION_GLOBAL;IINDICE;ULTIMO PERIODO CURSADO
1;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;13,875;F;Ingeniería de Computación;Inactivo Eliminado indice acad;2,7307;ENERO-MARZO 2006
2;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,5121;F;Ingeniería de Materiales;Inactivo Eliminado indice acad;2,6538;ENERO-MARZO 2006
3;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;15,7317;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;2,6363;ENERO-MARZO 2006
4;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;16,5121;F;Ingeniería Química;Inactivo Eliminado indice acad;2,7692;ENERO-MARZO 2006
5;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;13,6829;M;Urbanismo;Inactivo Eliminado indice acad;2,3846;ENERO-MARZO 2006
6;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;12,9761;M;Urbanismo;Inactivo Eliminado indice acad;1,8076;ENERO-MARZO 2006
7;ADMISION REGULAR;2005;2005;OFICIAL;Miranda;15,5348;M;Licenciatura en Física;Inactivo Eliminado indice acad;2,6538;ENERO-MARZO 2006
8;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;17,1219;M;Ingeniería de Materiales;Inactivo norma de retiros;2,8461;ENERO-MARZO 2006
9;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;13,439;M;Ingeniería Mecánica;Inactivo Eliminado indice acad;2,12;ENERO-MARZO 2006
10;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;12,85;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo Eliminado indice acad;2,7692;ENERO-MARZO 2006
11;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;;F;Licenciatura en Química;Inactivo Eliminado indice acad;2,6086;ENERO-MARZO 2006
12;ADMISION REGULAR;2005;2005;PRIVADO;Falcón;15,1219;M;Ingeniería de Computación;Inactivo Eliminado indice acad;2,3846;ENERO-MARZO 2006
13;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;13,5853;M;Urbanismo;Inactivo Eliminado indice acad;2,2692;ENERO-MARZO 2006
14;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,4634;M;Lic.en Matemáticas (Est. y Mat.Computacional);Inactivo norma de retiros;3,3846;ENERO-MARZO 2006
15;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,6829;F;Arquitectura;Inactivo Eliminado indice acad;2,0645;ENERO-MARZO 2006
16;ADMISION REGULAR;2005;2005;PRIVADO;Trujillo;17,0952;M;Ingeniería Eléctrica;Inactivo norma de retiros;2,9230;ENERO-MARZO 2006
17;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;13,4146;M;Ingeniería Eléctrica;Inactivo Eliminado indice acad;2,3478;ENERO-MARZO 2006
18;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;16,7317;F;Urbanismo;Inactivo Eliminado indice acad;2,7037;ENERO-MARZO 2006
19;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;17,3658;F;Arquitectura;Inactivo norma de retiros;3,2962;ENERO-MARZO 2006
20;ADMISION REGULAR;2005;2005;PRIVADO;Miranda;12,2195;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;2,1304;ENERO-MARZO 2006
21;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;16,2195;M;Ingeniería de Materiales;Inactivo Eliminado indice acad;2,7391;ENERO-MARZO 2006
22;ADMISION REGULAR;2005;2005;PRIVADO;Aragua;14,225;F;Ingeniería Eléctrica;Inactivo Eliminado indice acad;2,1739;ENERO-MARZO 2006
23;ADMISION REGULAR;2005;2005;OFICIAL;Distrito Federal;15,0243;M;Ingeniería Geofísica;Inactivo Eliminado indice acad;2,4782;ENERO-MARZO 2006
24;ADMISION REGULAR;2005;2005;PRIVADO;Distrito Federal;15,0243;M;Lic en Matemáticas ( Didáctica de la Mat.);Inactivo Eliminado indice acad;2,4782;ENERO-MARZO 2006
